id,ground_truth,generic_query_pred,criterion_query_pred
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,0
11,1,1,1
12,1,1,1
13,1,1,1
14,1,0,0
15,1,1,1
16,1,1,1
17,1,1,1
18,1,0,0
19,1,1,1
20,1,1,1
21,1,0,0
22,1,1,0
23,1,1,1
24,1,1,1
25,1,0,0
26,1,1,1
27,1,1,0
28,1,0,0
29,1,1,1
30,1,1,1
31,1,1,1
32,1,0,0
33,1,0,0
34,1,1,1
35,1,1,1
36,1,0,0
37,1,1,1
38,1,1,0
39,1,0,0
40,1,1,1
41,1,0,0
42,1,0,0
43,1,1,1
44,1,1,0
45,1,1,0
46,1,1,1
47,1,1,0
48,1,1,0
49,1,1,1
50,1,1,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,1,0
62,0,1,1
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,1,1
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,1,1
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
